mark,model,description,model_id
SMART,Fortwo Coupe,EQ 82ch prime,414
NISSAN,Leaf,150ch 40kWh Business 19.5,415
RENAULT,Express,1.3 TCe 100ch Essentiel,416
PEUGEOT,2008,1.2 PureTech 110ch Style S&S,417
PEUGEOT,Partner,M 950kg BlueHDi 130ch S&S,418
RENAULT,Kadjar,1.7 Blue dCi 150ch Intens,419
MERCEDES,Classe A,180 CDI 1.8 Business Executive 7G-DCT,420
OPEL,Mokka,1.2 Turbo 130ch Elegance Business BVA8,421
BMW,I4,eDrive35 286ch M Sport,422
OPEL,Grandland X,1.5 D 130ch Ultimate,423
RENAULT,Clio,1.0 TCe 100ch Intens - 20,424
JAGUAR,Xk Coupe,5.0 V8 R,425
PORSCHE,Cayenne Coupe,3.0 V6 462ch E-Hybrid,426
PEUGEOT,3008,1.2 PureTech 130ch GT Line S&S,427
PEUGEOT,508 Sw,PureTech 130ch S&S GT EAT8,428
CITROEN,C4,PureTech 130ch Feel S&S EAT6,429
PEUGEOT,5008,1.2 PureTech 130ch S&S Allure Pack EAT8,430
MINI,Mini,Cooper 136ch Heddon Street BVA7 Euro6d-T,431
NISSAN,Leaf,150ch 40kWh N-Connecta,432
OPEL,Corsa,1.2 Turbo 100ch GS Line,433
PORSCHE,Cayenne,3.0 440ch S,434
RENAULT,Kadjar,1.2 TCe 130ch energy Intens EDC,435
TOYOTA,Yaris Cross,116h Design MY21,436
VOLKSWAGEN,Taigo,1.0 TSI 110ch R-Line DSG7,437
MERCEDES,Glb,250 224ch AMG Line LAUCH EDITION 4Matic 8G DCT,438
CITROEN,C4 Picasso,BlueHDi 120ch Feel S&S,439
AUDI,E-Tron Sportback,55 408ch S Line e-quattro,440
RENAULT,Captur,1.6 E-Tech hybride 145ch Techno,441
NISSAN,Qashqai,1.3 Mild Hybrid 140ch N-Connecta + Pack DESIGN + Roue de secours,442
NISSAN,X-Trail,1.6 dCi 130ch Tekna 7 places,443
LAND-ROVER,Range Rover Evoque,1.5 P300e 309ch Dynamic SE,444
BMW,Serie 1,118iA 136ch Business Design DKG7,445
CITROEN,C4,BlueHDi 130ch S&S Feel Pack EAT8,446
FORD,C-Max,1.0 EcoBoost 100ch Stop&Start Trend Euro6.2,447
DS,Ds 3 Crossback,E-Tense Performance Line 4cv,448
LAND-ROVER,Discovery Sport,2.0 TD4 150ch AWD SE BVA Mark I,449
MERCEDES,Eqe Suv,350+ 292ch AMG Line 4Matic,450
RENAULT,Austral,1.2 E-Tech full hybrid 200ch Iconic,451
OPEL,Mokka,Mokka-e 136ch GS Line,452
TOYOTA,Aygo,1.0 VVT-i 72ch x-play 5p MY20,453
LAND-ROVER,Range Rover Sport,3.0 SDV6 306 HSE Dynamic Mark IV,454
VOLKSWAGEN,Golf,1.5 TSI EVO 130ch Connect DSG7 5p,455
PEUGEOT,208,1.5 BlueHDi 100ch E6.c Active BVM5 5p,456
VOLKSWAGEN,T-Roc,1.0 TSI 110ch Life,457
TOYOTA,Bz4x,204ch 11kW Origin,458
PEUGEOT,3008,1.2 PureTech 130ch E6.c GT Line S&S,459
CITROEN,C5 Aircross,Hybrid rechargeable 225ch Shine Pack ë-EAT8,460
PEUGEOT,508,BlueHDi 130ch S&S Allure Business EAT8 7cv,461
FORD,Transit 2t,PE 390 L2H2 198 kW Batterie 75/68 kWh Trend Business,462
CITROEN,Jumpy,M 2.0 BlueHDi 145ch,463
MERCEDES,Gle Coupe,400 e 252ch+136ch AMG Line 4Matic 9G-Tronic,464
SUZUKI,Across,2.5 Hybride Rechargeable 306ch Pack 2023 ( IDEM TOYOTA RAV4 / RAV 4 ),465
TOYOTA,Highlander,2.5 Hybrid 248ch Lounge AWD-I MY23,466
VOLKSWAGEN,Tiguan Allspace,2.0 TDI 150ch Carat DSG7 Euro6dT,467
PEUGEOT,2008,1.2 PureTech 130ch S&S Allure Business EAT8,468
CITROEN,C3,PureTech 82ch Graphic S&S E6.d,469
SMART,Fortwo Cabriolet,EQ 82ch prime,470
MINI,Mini,Cooper 136ch Hatch,471
HYUNDAI,Tucson,1.6 CRDI 136ch Hybrid 48V Executive DCT7,472
RENAULT,Clio,1.6 E-Tech hybride 140ch Intens -21N,473
DACIA,Spring,Confort Plus - Achat Intégral,474
PEUGEOT,3008,1.2 PureTech 130ch Allure S&S,475
VOLKSWAGEN,Golf,1.5 eTSI OPF 130ch Life 1st DSG7,476
CITROEN,C3 Aircross,BlueHDi 110ch S&S Feel Pack,477
DS,Ds 3 Crossback,BlueHDi 100ch So Chic,478
NISSAN,Qashqai,1.3 DIG-T 160ch N-Connecta 2019,479
VOLKSWAGEN,Polo,1.0 TSI 95ch Life,480
RENAULT,Twingo,E-Tech Electric Life R80 Achat Intégral - 21,481
RENAULT,Megane,1.5 Blue dCi 115ch Techno EDC -23,482
RENAULT,Scenic,1.5 dCi 110ch energy Intens EDC,483
BMW,Serie 5,530eA iPerformance 252ch M Sport Steptronic,484
PEUGEOT,3008,Plug-in Hybrid 225ch Allure Pack e-EAT8,485
VOLKSWAGEN,E-Up!,Electrique 83ch 4cv,486
JAGUAR,F-Pace,P400e Plug-in-Hybrid R-Dynamic HSE BVA8 AWD,487
BMW,Serie 1,128tiA 265ch,488
RENAULT,Megane,1.5 Blue dCi 115ch Business EDC,489
PEUGEOT,208,1.5 BlueHDi 100ch S&S Style,490
OPEL,Corsa,1.2 75ch Elegance Business,491
RENAULT,Clio,1.3 TCe 140ch Intens -21N,492
PEUGEOT,308,PHEV 180ch Allure e-EAT8,493
RENAULT,Clio,1.6 E-Tech 145ch full hybrid Techno,494
RENAULT,Trafic,L2H1 1300 2.0 dCi 120ch Grand Confort S&S E6,495
CITROEN,C3,PureTech 82ch Shine,496
MINI,Clubman,Cooper S 178ch Business Design BVA7,497
RENAULT,Clio,1.0 TCe 90ch Evolution,498
DACIA,Sandero,1.0 SCe 75ch Essentiel - 20,499
PEUGEOT,2008,1.2 PureTech 130ch S&S Allure EAT8,500
MERCEDES,Classe E Coupe,220 d 194ch AMG Line 9G-Tronic,501
PEUGEOT,308 Sw,1.5 BlueHDi 130ch S&S Allure Pack EAT8,502
BMW,Ix3,M sport 286ch Impressive,503
MERCEDES,Classe S,580 e 510ch AMG Line 9G-Tronic,504
RENAULT,Kadjar,1.5 Blue dCi 115ch Business - 21,505
SKODA,Kamiq,1.0 TSI Evo 110ch Ambition,506
RENAULT,Twingo,Electric Zen R80 Achat Intégral,507
CITROEN,Jumpy,M 1.5 BlueHDi 120ch S&S Pack Driver,508
OPEL,Corsa,1.2 Turbo 100ch Elegance,509
TOYOTA,Yaris,HSD 100h TechnoLine 5p,510
DS,Ds 3 Crossback,PureTech 130ch Rivoli Automatique,511
DACIA,Duster,1.3 TCe 150ch FAP Prestige 4x2,512
RENAULT,Twingo,Electric Intens R80 Achat Intégral,513
OPEL,Grandland X,1.2 Turbo 130ch ECOTEC Innovation,514
RENAULT,Trafic,L1H1 1200 1.6 dCi 120ch Grand Confort Euro6,515
HYUNDAI,Tucson,1.6 T-GDi 150ch Hybrid 48V Executive DCT7,516
MERCEDES,Eqc,400 408ch AMG Line 4Matic,517
PEUGEOT,308,PHEV 225ch GT e-EAT8,518
CITROEN,C5 Aircross,Hybrid rechargeable 225ch Shine ë-EAT8,519
MERCEDES,Eqa,250+ 190ch AMG Line,520
NISSAN,Qashqai,1.2L DIG-T 115ch Connect Edition,521
RENAULT,Clio,1.6 E-Tech 140ch Intens,522
OPEL,Crossland X,1.2 Turbo 130ch Ultimate,523
MERCEDES,Glc,300 e 313ch AMG Line 4Matic 9G-Tronic,524
CITROEN,C4,Moteur électrique 136ch (100 kW) Shine Pack Automatique,525
MERCEDES,Classe A,180 136ch Style Line 7G-DCT,526
DACIA,Sandero,1.0 SCe 75ch Urban Stepway,527
MERCEDES,Citan,112 CDI Long Pro BVA 5cv,528
RENAULT,Kadjar,1.5 dCi 110ch energy Life eco²,529
SKODA,Citigo E Iv,Electrique 83ch Style 5p,530
NISSAN,Leaf,150ch 40kWh Acenta 21,531
BMW,Serie 3 Touring,318dA 150ch M Sport,532
CITROEN,C3,1.2 PureTech 110ch S&S Shine,533
CITROEN,C5 Aircross,Hybrid rechargeable 225ch Feel Pack ë-EAT8,534
BMW,Serie 1,118iA 136ch M Sport DKG7,535
RENAULT,Megane,1.5 Blue dCi 115ch Intens -21B,536
AUDI,A6,50 TDI 286ch Avus quattro tiptronic 138g,537
PEUGEOT,2008,1.2 PureTech 130ch E6.c Allure S&S EAT6,538
RENAULT,Kangoo,1.5 Blue dCi 80ch Trend,539
FORD,Puma,1.0 Flexifuel 125ch S&S mHEV ST-Line X,540
RENAULT,Clio,1.5 dCi 75ch energy Business E6C,541
MERCEDES,Gla,200 163ch AMG Line 7G-DCT,542
MINI,Countryman,Cooper SE 136ch + 88ch Chili ALL4 BVA,543
MERCEDES,Eqc,400 408ch AMG Line 4Matic 11cv,544
MERCEDES,Classe C Break,200 204ch AMG Line,545
FIAT,Ducato,3.0 CH1 2.0 Multijet 115ch Pack Pro Nav,546
RENAULT,Kangoo,1.5 Blue dCi 95ch Intens 5cv,547
FIAT,500,1.0 70ch BSG S&S (RED),548
OPEL,Crossland X,1.2 Turbo 110ch Opel 2020 6cv,549
PEUGEOT,Expert,Compact 2.0 BlueHDi 180ch S&S Urban EAT8,550
RENAULT,Clio,1.6 E-Tech 140ch RS Line -21,551
NISSAN,Ariya,87kWh 242ch Evolve,552
BMW,X3,xDrive30e 292ch M Sport,553
VOLKSWAGEN,Tiguan,1.4 eHybrid 245ch Life Plus DSG6,554
CITROEN,C5 Aircross,BlueHDi 180ch S&S Feel EAT8,555
CITROEN,C3,PureTech 68ch Feel E6.d-TEMP,556
MERCEDES,Gla,220 CDI Fascination 4Matic 7G-DCT,557
VOLKSWAGEN,Golf,1.4 eHybrid OPF 204ch Style DSG6,558
TOYOTA,Aygo,1.0 VVT-i 72ch x-night x-shift 5p MY21,559
RENAULT,Captur,0.9 TCe 90ch Business - 19,560
MERCEDES,Glc,250 d 204ch Sportline 4Matic 9G-Tronic,561
AUDI,Q2,30 TDI 116ch S line S tronic 7,562
HYUNDAI,I20,1.2 84ch Intuitive,563
PEUGEOT,5008,1.5 BlueHDi 130ch S&S Style EAT8,564
RENAULT,Clio,1.0 TCe 90ch Equilibre,565
BMW,Serie 3 Touring,330dA xDrive 286ch M Sport,566
NISSAN,Juke,1.6 Hybrid 143ch N-Connecta 2023,567
RENAULT,Twizy,Intens 45,568
MERCEDES,Classe B,200d 136ch Sensation 7G-DCT Euro6c,569
RENAULT,Clio,1.0 TCe 90ch Intens -21N,570
CITROEN,C3,1.2 PureTech 110ch S&S Shine Business 121g,571
LAND-ROVER,Range Rover,3.0 P510e 510ch PHEV Autobiography SWB,572
NISSAN,Qashqai,1.3 DIG-T 160ch Tekna+ 2019,573
BMW,X5,xDrive40eA 313ch M Sport,574
FORD,Kuga,2.5 Duratec 190ch FHEV E85 ST-Line Business BVA,575
LEXUS,Ct,200h Luxe MY20,576
HONDA,Cr-V,2.0 i-MMD 184ch Exclusive 4WD AT,577
PEUGEOT,308 Sw,1.2 PureTech 130ch S&S GT Line,578
OPEL,Combo Cargo,L1H1 650kg 1.5 100ch S&S Pack Clim,579
DACIA,Sandero,1.0 ECO-G 100ch Expression,580
MERCEDES,Cla,200 d 150ch Progressive Line 8G-DCT 8cv,581
MINI,Countryman,Cooper 136ch Northwood BVA7,582
LAND-ROVER,Range Rover Evoque,1.5 P300e 309ch R-Dynamic AWD BVA 11cv,583
PEUGEOT,308 Sw,1.2 PureTech 130ch S&S Active Pack EAT8,584
PEUGEOT,Expert,M 100 kW Batterie 75 kWh,585
CITROEN,C4 X,Moteur électrique 136ch (100 kW) Shine Automatique,586
PEUGEOT,308,1.2 PureTech 110ch S&S Allure 6cv,587
PEUGEOT,308,1.5 BlueHDi 130ch S&S Active Pack,588
BMW,X1,sDrive20d 190ch M Sport,589
BMW,Serie 1,116d 116ch Sport 5p,590
TOYOTA,Corolla,1.8 140ch GR Sport MY24,591
PEUGEOT,308 Sw,PHEV 225ch GT e-EAT8,592
RENAULT,Captur,0.9 TCe 90ch Intens - 19,593
FORD,Fiesta,1.0 EcoBoost 95ch Cool & Connect 5p,594
DACIA,Sandero,1.0 TCe 90ch Confort,595
CITROEN,C3 Aircross,PureTech 110ch S&S Shine E6.d,596
RENAULT,Zoe,Zen charge normale,597
CITROEN,C3 Aircross,BlueHDi 120ch S&S Shine EAT6,598
NISSAN,Qashqai,1.7 dCi 150ch Tekna Euro6d-T,599
NISSAN,Leaf,150ch 40kWh Tekna,600
PEUGEOT,2008,1.2 PureTech 130ch Urban Cross S&S,601
CITROEN,C3,1.5 BlueHDi 100ch S&S Feel E6.d,602
PEUGEOT,3008,1.2 PureTech 130ch Allure S&S EAT8 6cv,603
VOLVO,Xc40,D3 AdBlue AWD 150ch R-Design Geartronic 8,604
HYUNDAI,Kona,Electric 39kWh - 136ch Creative,605
RENAULT,Grand Scenic,1.7 Blue dCi 120ch Intens EDC,606
MERCEDES,Glc Coupe,300 e 211+122ch AMG Line 4Matic 9G-Tronic Euro6d-T-EVAP-ISC,607
BMW,Serie 5,520dA xDrive 197ch M Sport,608
CITROEN,Berlingo Van,XL 950kg PureTech 110 S&S Driver,609
RENAULT,Twingo,Electric Life R80 Achat Intégral 3CV,610
FORD,Mustang Mach-E,Extended Range 99kWh 294ch 7cv,611
PEUGEOT,3008,1.2 PureTech 130ch S&S Allure Pack EAT8,612
BMW,Z4 Roadster,sDrive20iA 197ch M Sport,613
BMW,Serie 3 Touring,330dA MH xDrive 286ch M Sport 17cv,614
MG,Ehs,1.5T GDI 258ch PHEV Luxury,615
NISSAN,Qashqai,1.5 dCi 115ch Business Edition 2019 Euro6-EVAP,616
BMW,Serie 1,118dA 150ch M Sport,617
VOLKSWAGEN,Polo,1.0 TSI 110ch Style DSG7,618
PEUGEOT,5008,1.2 PureTech 130ch Allure S&S,619
DS,Ds 7 Crossback,BlueHDi 130ch Performance Line 102g,620
CITROEN,C3 Aircross,PureTech 110ch S&S Rip Curl,621
SUZUKI,S-Cross,1.4 Boosterjet Hybrid 129ch Style Euro6d-T,622
PEUGEOT,3008,"3008 STYLE 1,2L PureTech 130 S&S BVM6",623
PEUGEOT,208,1.2 PureTech 75ch S&S Active PACK,624
LEXUS,Rx,450h 4WD Executive MY22,625
MERCEDES,Classe A,250 e 163+109ch AMG Line 8G-DCT,626
CITROEN,C1,VTi 72 S&S Feel 5p E6.d-TEMP,627
MERCEDES,Classe E Coupe,300 258ch AMG Line 9G-Tronic,628
RENAULT,Arkana,1.3 TCe 140ch FAP RS Line EDC -21B,629
CITROEN,C3 Aircross,PureTech 110ch S&S Feel E6.d,630
RENAULT,Kadjar,1.2 TCe 130ch energy Black Edition EDC,631
BMW,Serie 5,i5 M60 xDrive40 601ch,632
RENAULT,Captur,1.3 TCe 130ch FAP Intens - 20,633
RENAULT,Megane,1.5 Blue dCi 115ch Evolution EDC,634
MERCEDES,Vito,114 CDI Long Pro Traction,635
RENAULT,Kadjar,1.3 TCe 140ch FAP ESF EDC,636
PEUGEOT,2008,1.2 PureTech 130ch S&S GT Line,637
NISSAN,Nv300,L2H1 3t0 1.6 dCi 125ch S/S N-Connecta,638
DACIA,Duster,1.2 TCe 125ch BLACK TOUCH 4X2,639
CITROEN,C4,BlueHDi 130ch S&S Shine Pack EAT8,640
PEUGEOT,208,1.2 PureTech 82ch E6.c Signature 5p,641
PEUGEOT,3008,Plug-in HYBRID 225ch GT e-EAT8,642
VOLVO,Xc40,Recharge 231ch Plus EDT,643
PEUGEOT,Expert,Long 2.0 BlueHDi 120ch S&S Cabine Approfondie Fixe Premium EAT8,644
CITROEN,C3,1.2 PureTech 83ch S&S YOU#,645
BMW,Serie 1,118i 136ch M Sport,646
CITROEN,C3 Aircross,BlueHDi 120ch S&S C-Series EAT6 E6.d-TEMP,647
PEUGEOT,2008,1.2 PureTech 130ch E6.c GT Line S&S,648
DACIA,Duster,1.3 TCe 150ch FAP Techroad 4x2,649
SEAT,Arona,1.0 EcoTSI 95ch Start/Stop Urban Euro6d-T,650
RENAULT,Espace,1.2 E-Tech full hybrid 200ch Iconic,651
PEUGEOT,508,BlueHDi 130ch S&S GT EAT8,652
MINI,Countryman,Cooper 136ch Northwood,653
JAGUAR,E-Pace,2.0D 180ch R-Dynamic AWD,654
CITROEN,C1,VTi 72 Feel 5p,655
FIAT,500,e 118ch Icône,656
RENAULT,Megane,1.5 Blue dCi 115ch Business,657
RENAULT,Zoe,Intens charge normale R110 Achat Intégral,658
PEUGEOT,308 Sw,1.5 BlueHDi 130ch S&S GT Line EAT8,659
TOYOTA,Proace City Verso,Long Electric 50kWh Executive,660
RENAULT,Clio,1.6 E-Tech hybride 140ch RS Line -21N,661
MINI,Countryman,Cooper SD 190ch Yours BVA8,662
PEUGEOT,308,PHEV 180ch GT e-EAT8,663
VOLKSWAGEN,Golf Sw,2.0 TSI 300ch BlueMotion Technology R 4Motion DSG6,664
CITROEN,C5 X,Hybrid 225ch Feel Business ëEAT8,665
AUDI,A5 Sportback,2.0 TDI 190ch clean diesel Ambition Luxe Multitronic Euro6,666
RENAULT,Scenic,1.3 TCe 115ch FAP Limited,667
MERCEDES,Gla,200 156ch Sport Edition 7G-DCT Euro6d-T,668
NISSAN,Qashqai,1.5 dCi 110ch N-Connecta 99g,669
PEUGEOT,2008,1.2 PureTech 110ch E6.c Allure S&S EAT6,670
DACIA,Duster,1.3 TCe 150ch FAP Prestige 4x2 EDC,671
RENAULT,Zoe,Zen charge normale R90 MY19,672
PORSCHE,911 Coupe,4.0 510ch GT3 Pack Touring PDK,673
TOYOTA,Auris,HSD 136h Collection RC18,674
VOLVO,Xc90,T8 AWD 310 + 145ch Ultimate Style Dark Geartronic,675
VOLKSWAGEN,T-Cross,1.0 TSI 110ch Style DSG7,676
SEAT,Arona,1.5 TSI ACT 150ch FR DSG7,677
NISSAN,Juke,1.0 DIG-T 114ch Tekna 2021.5,678
AUDI,A1 Sportback,1.0 TFSI 95ch ultra Ambiente,679
VOLKSWAGEN,T-Roc Cabriolet,1.0 TSI 110ch Style,680
CITROEN,C4 Cactus,BlueHDi 100 Feel,681
VOLKSWAGEN,E-Up!,Electrique 83ch Life Plus,682
SKODA,Superb,1.4 TSI ACT 150ch Ambition,683
NISSAN,Juke,1.0 DIG-T 117ch Tekna,684
MERCEDES,Glc,300 e 211+122ch AMG Line 4Matic 9G-Tronic Euro6d-T-EVAP-ISC,685
SEAT,Leon,1.0 TSI 115ch Style 105g,686
MERCEDES,Gla,45 S AMG 421ch 4Matic+ 8G-DCT Speedshift AMG,687
RENAULT,Kangoo,E-Tech Electric EV45 120ch DC80kW Techno,688
PEUGEOT,5008,1.5 BlueHDi 130ch S&S Allure Pack EAT8,689
MERCEDES,Classe Sl,43 AMG 381h 9G Speedshift MCT AMG,690
PEUGEOT,308,1.5 BlueHDi 130ch S&S GT EAT8,691
TOYOTA,Yaris,116h France Business 5p + Stage Hybrid Academy,692
PEUGEOT,2008,e-2008 136ch Allure,693
RENAULT,Captur,1.5 Blue dCi 115ch Intens EDC,694
NISSAN,Qashqai,1.3 DIG-T 160ch N-Connecta DCT Euro6d-T,695
RENAULT,Zoe,Zen charge normale R110 - 20,696
FORD,Puma,1.5 EcoBlue 120ch ST-Line 6cv,697
CITROEN,C3 Aircross,PureTech 110ch S&S Shine,698
PEUGEOT,2008,1.2 PureTech 100ch S&S Active Pack,699
MINI,Mini,Cooper SE 184ch Edition Greenwich BVA,700
BMW,X5,xDrive45e 394ch M Sport 17cv,701
VOLKSWAGEN,Tiguan,2.0 TDI 150ch BlueMotion Technology Carat,702
NISSAN,Juke,1.0 DIG-T 114ch Enigma DCT 2021.5,703
CITROEN,C4,PureTech 130ch S&S Shine EAT8,704
MERCEDES,Classe C Coupe,200 184ch Sportline 4Matic 9G-Tronic,705
CITROEN,Grand C4 Spacetourer,PureTech 130ch S&S Feel E6.d,706
ALFA ROMEO,Tonale,1.5 Hybrid 130ch Sprint TCT,707
MERCEDES,Classe A,250 e 160+102ch AMG Line 8G-DCT 8cv,708
RENAULT,Master,F3500 L3 2.3 Blue dCi 165ch Confort EuroVI Caisse Frigo 16m3,709
MERCEDES,Gla,180 122ch Sensation 7G-DCT Euro6d-T,710
PEUGEOT,2008,1.2 PureTech 110ch Allure S&S,711
FORD,Focus,1.0 EcoBoost 125ch mHEV ST-Line,712
PEUGEOT,208,1.5 BlueHDi 100ch E6.c Signature BVM5 86g 5p,713
FORD,Kuga,2.5 Duratec 190ch FHEV E85 ST-Line BVA,714
RENAULT,Arkana,1.6 E-Tech hybride 145ch Techno -22,715
MERCEDES,Classe C All-Terrain,200 204ch 4Matic 9G-Tronic,716
RENAULT,Clio,1.6 E-Tech 140ch Business,717
CITROEN,C5 X,Hybride rechargeable 225ch Shine Pack ëEAT8,718
LAND-ROVER,Range Rover Evoque,2.0 P200 200ch Flex Fuel Dynamic HSE,719
RENAULT,Zoe,Life charge normale R90 Achat Intégral MY19,720
DACIA,Sandero,1.0 SCe 75ch Evasion,721
AUDI,Q7,3.0 V6 TDI 373ch e-tron Avus quattro Tiptronic,722
OPEL,Crossland X,1.2 Turbo 110ch Design 120 ans Euro 6d-T,723
DACIA,Sandero,1.0 ECO-G 100ch Stepway Extreme,724
NISSAN,Qashqai,1.7 dCi 150ch Tekna 2019,725
LAND-ROVER,Range Rover Velar,2.0 P400e 404ch PHEV Dynamic HSE AWD BVA,726
PEUGEOT,5008,1.5 BlueHDi 130ch S&S Active Pack EAT8,727
VOLKSWAGEN,T-Roc,2.0 TDI 150ch First Edition 4Motion DSG7,728
MERCEDES,Classe A,250 e 160+102ch Progressive Line 8G-DCT 8cv,729
RENAULT,Megane,1.5 Blue dCi 115ch Intens,730
NISSAN,Qashqai,1.2 DIG-T 115ch N-Connecta,731
CITROEN,C5 Aircross,BlueHDi 130ch S&S Shine E6.d,732
TOYOTA,Corolla,1.8 140ch Design MY23,733
DS,Ds 7 Crossback,E-TENSE 4x4 300ch Louvre,734
VOLKSWAGEN,Tiguan,2.0 TDI 150ch Carat 4Motion DSG7 Euro6d-T,735
RENAULT,Arkana,1.6 E-Tech hybride 145ch RS Line Fast Track,736
CITROEN,C3 Aircross,PureTech 110ch S&S Feel,737
CITROEN,Berlingo Van,M 650kg BlueHDi 100 S&S Driver,738
RENAULT,Captur,1.3 TCe 155ch FAP Initiale Paris EDC,739
PEUGEOT,5008,2.0 BlueHDi 180ch S&S GT EAT8,740
VOLKSWAGEN,Transporter,2.8T L1H1 2.0 TDI 110ch Business Plus,741
PEUGEOT,208,1.2 PureTech 82ch Allure 5p,742
OPEL,Grandland X,1.2 Turbo 130ch Ultimate BVA8,743
MERCEDES,Glb,200d 150ch AMG Line 8G DCT,744
LAND-ROVER,Range Rover Evoque,2.0 P 200ch Flex Fuel R-Dynamic SE AWD BVA Mark III,745
RENAULT,Kadjar,1.5 dCi 110ch energy Intens eco²,746
RENAULT,Clio,1.0 TCe 100ch Intens GPL -21,747
PEUGEOT,Partner Tepee,1.2 PureTech Style S&S,748
CITROEN,C5 Aircross,BlueHDi 130ch S&S Shine Pack EAT8 E6.d,749
VOLKSWAGEN,Polo,1.0 TSI 95ch Style DSG7,750
RENAULT,Kangoo,1.5 Blue dCi 115ch Techno EDC,751
MERCEDES,Classe C Break,200 d 160ch AMG Line 9G-Tronic,752
TOYOTA,Proace City,Electric Long 50 kWh Business,753
BMW,X3,xDrive30eA 292ch M Sport 10cv,754
CITROEN,C4 Spacetourer,PureTech 130ch S&S Rip Curl E6.d-TEMP,755
VOLKSWAGEN,Id.3,204ch Pro Performance 58 kWh Style,756
MERCEDES,Glc,300 de 194+122ch AMG Line 4Matic 9G-Tronic,757
MERCEDES,Classe C,200 d 160ch AMG Line 9G-Tronic,758
DACIA,Spring,Business 2020,759
PEUGEOT,208,1.2 PureTech 75ch S&S Active Pack,760
CITROEN,C3,PureTech 110ch Shine S&S EAT6 E6.d,761
CITROEN,C4,PureTech 130ch S&S Feel Pack Business EAT8,762
FORD,C-Max,1.0 EcoBoost 125ch Stop&Start Titanium Euro6.2,763
RENAULT,Captur,1.3 TCe 140ch FAP Intens EDC -21,764
DACIA,Spring,Business 2020 - Achat Intégral,765
PEUGEOT,2008,1.2 PureTech 100ch S&S Allure Pack,766
PEUGEOT,508,PureTech 180ch S&S GT Line EAT8 10cv,767
RENAULT,Express,1.3 TCe 100ch Essentiel 22,768
PEUGEOT,Partner,Standard 650kg BlueHDi 100ch S&S BVM5 Asphalt,769
RENAULT,Austral,1.2 E-Tech full hybrid 200ch Techno esprit Alpine,770
RENAULT,Megane,1.0 TCe 115ch FAP Business -21B,771
CITROEN,C5 X,Hybrid 225ch Shine Pack ëEAT8,772
PEUGEOT,208,1.6 BlueHDi 100ch S&S Premium Euro6c,773
CITROEN,C5 Aircross,BlueHDi 130ch S&S C-Series EAT8,774
AUDI,Q3,2.0 TDI 150ch ultra Ambiente,775
RENAULT,Megane Estate,1.5 Blue dCi 115ch Techno EDC -23,776
RENAULT,Austral,1.2 E-Tech full hybrid 200ch Iconic esprit Alpine- 23,777
MERCEDES,Classe Sl,63 AMG 585ch 4Matic+ 9G Speedshift MCT AMG,778
PEUGEOT,2008,1.2 PureTech 130ch E6.c Allure S&S EAT6 6cv,779
CITROEN,C4,Moteur électrique 136ch (100 kW) Shine Automatique,780
VOLKSWAGEN,T-Roc,1.5 TSI EVO 150ch R-Line DSG7,781
SKODA,Fabia,1.0 MPI 80ch Ambition,782
TOYOTA,Rav4,197 Hybride Lounge 2WD CVT,783
NISSAN,Qashqai,1.3 Mild Hybrid 158ch Tekna+ Xtronic,784
VOLKSWAGEN,T-Cross,1.0 TSI 110ch Carat DSG7,785
MERCEDES,Classe B,250 e 160+102ch AMG Line Edition 8G-DCT,786
FORD,Focus,1.0 Flexifuel mHEV 125ch ST-Line X Powershift,787
RENAULT,Clio,0.9 TCe 90ch LIMITED 5p Euro6c,788
FORD,Ka,1.2 69ch Stop&Start Titanium MY2014,789
RENAULT,Espace,1.6 TCe 200ch energy Initiale Paris EDC,790
OPEL,Grandland,1.5 D 130ch GS Line BVA8,791
BMW,Serie 3,320iA xDrive 184ch M Sport,792
BMW,X1,sDrive18iA 140ch M Sport DKG7 Euro6c,793
MERCEDES,Gle,350 d 272ch AMG Line 4Matic 9G-Tronic,794
VOLVO,Xc60,T6 AWD 253 + 145ch Inscription Luxe Geartronic,795
RENAULT,Zoe,Zen charge normale R90,796
VOLKSWAGEN,Golf,1.5 eTSI OPF 150ch R-Line DSG7,797
MERCEDES,Cla Shooting Brake,200 d Sensation 7G-DCT,798
RENAULT,Arkana,1.6 E-Tech 145ch full hybrid esprit Alpine -23,799
RENAULT,Captur,1.2 TCe 120ch energy Initiale Paris,800
PEUGEOT,308,1.2 PureTech 130ch €6.c S&S Allure,801
MERCEDES,Classe B,180 136ch Style Line Edition 7G-DCT 7cv,802
NISSAN,X-Trail,dCi 150ch Tekna Euro6d-T,803
TOYOTA,Yaris,120 VVT-i Design 5p,804
PEUGEOT,3008,1.5 BlueHDi 130ch S&S Allure Pack EAT8,805
MINI,Mini,Cooper S 192ch Heddon Street Euro6d-T,806
NISSAN,Juke,1.0 DIG-T 114ch Business+ DCT 2021.5,807
CITROEN,C4,PureTech 100ch S&S Feel,808
CITROEN,C3,1.2 PureTech 110ch S&S ELLE,809
BMW,I3,170ch 94Ah REx +CONNECTED Atelier,810
NISSAN,X-Trail,1.6 dCi 130ch Tekna Euro6,811
RENAULT,Grand Scenic,1.7 Blue dCi 120ch Business 7 places,812
CITROEN,C5 Aircross,PureTech 130ch S&S Feel E6.d-TEMP,813
